Harga Invoice All Tenant (per Item),,,,,,,,,Harga Invoice Pucang (per Item),,,,,,,
,,,,,,,,,,,,,,,,
No,Item,Quantity,,Harga,Harga + 5%,Harga per item,Satuan,,No,Item,Quantity,,,,Harga per item,Satuan
48,Kabel Ties,1,pcs,Rp 25.00,Rp 26.25,Rp 25.00,pcs,,48,Kabel Ties,1,pcs,Rp 25.00,Rp 26.25,Rp 26.25,pcs
49,Susu Fresh Milk,1,pcs,"Rp 18,000.00","Rp 18,900.00","Rp 18,000.00",pcs,,49,Susu Fresh Milk,1,pcs,"Rp 18,000.00","Rp 18,900.00","Rp 18,900.00",pcs
50,Simple Syrup ,5000,gr,"Rp 78,000.00","Rp 81,900.00",Rp 15.60,gr,,50,Simple Syrup ,5000,gr,"Rp 78,000.00","Rp 81,900.00",Rp 16.38,gr
51,Minyak Goreng,1,pcs,"Rp 17,000.00","Rp 17,850.00","Rp 17,000.00",pcs,,51,Minyak Goreng,1,pcs,"Rp 17,000.00","Rp 17,850.00","Rp 17,850.00",pcs
55,Plastik klip 100pcs,1,pack,"Rp 1,120.00","Rp 1,176.00","Rp 1,120.00",pack,,55,Plastik klip 100pcs,1,pack,"Rp 1,120.00","Rp 1,176.00","Rp 1,176.00",pack
56,Plastik sealer gelas,1,pcs,"Rp 30,000.00","Rp 31,500.00","Rp 30,000.00",pcs,,56,Plastik sealer gelas,1,pcs,"Rp 30,000.00","Rp 31,500.00","Rp 31,500.00",pcs
57,Kresek sampah,1,pack,"Rp 8,000.00","Rp 8,400.00","Rp 8,000.00",pack,,57,Kresek sampah,1,pack,"Rp 8,000.00","Rp 8,400.00","Rp 8,400.00",pack
58,plastik 12 x 25,1,Pack,"Rp 9,000.00","Rp 9,450.00","Rp 9,000.00",pack,,58,plastik 12 x 25,1,Pack,"Rp 9,000.00","Rp 9,450.00","Rp 9,450.00",pack
60,Tutup Bowl 650 ml,1,pcs,Rp 375.00,Rp 393.75,Rp 375.00,pcs,,60,Tutup Bowl 650 ml,1,pcs,Rp 375.00,Rp 393.75,Rp 392.00,pcs
61,sunlight 1500,1,pcs,"Rp 22,900.00","Rp 24,045.00","Rp 22,900.00",pcs,,61,sunlight 1500,1,pcs,"Rp 22,900.00","Rp 24,045.00","Rp 24,045.00",pcs
62,tissue,1,pcs,"Rp 7,200.00","Rp 7,560.00","Rp 7,200.00",pcs,,62,tissue,1,pcs,"Rp 7,200.00","Rp 7,560.00","Rp 7,560.00",pcs
63,Battery AAA,12,pcs,"Rp 29,900.00","Rp 31,395.00","Rp 2,491.67",pcs,,63,Battery AAA,12,pcs,"Rp 29,900.00","Rp 31,395.00","Rp 2,616.25",pcs
64,plastik 20 x 35,1,pack,"Rp9,000","Rp 9,450.00","Rp 9,000.00",pack,,64,plastik 20 x 35,1,pack,"Rp9,000","Rp 9,450.00","Rp 9,450.00",pack
65,Spons cuci,1,pcs,"Rp4,600","Rp 4,830.00","Rp 4,600.00",pcs,,65,Spons cuci,1,pcs,"Rp4,600","Rp 4,830.00","Rp 4,830.00",pcs
67,tusuk sate,1,pack,"Rp6,500","Rp 6,825.00","Rp6,500.00",pack,,67,tusuk sate,1,pack,"Rp6,500","Rp 6,825.00","Rp 6,825.00",pack
68,Paper Bowl 650 ml,1,pcs,"Rp1,065","Rp 1,118.25","Rp1,065.00",pcs,,68,Paper Bowl 650 ml,1,pcs,"Rp1,065","Rp 1,118.25","Rp 1,120.00",pcs
69,Wakame,1,gr,Rp 336.00,Rp 352.80,Rp336.00,gr,,69,Wakame,1,gr,Rp 336.00,Rp 352.80,Rp 352.80,gr
70,Katsu,1,pcs,"Rp 4,095.00","Rp 4,299.75","Rp4,095.00",pcs,,70,Katsu,1,pcs,"Rp 4,095.00","Rp 4,299.75","Rp 4,299.75",pcs
